Spannung;Sekunde
227.87;5
242.51;10
238.61;15
233.33;20
242.77;25
227.25;30
232.34;35
250.32;40
239.59;45
233.6;50
223.94;55
231.98;60
234.77;65
229.53;70
230.51;75
230.33;80
246.55;85
232.15;90
;95
231.39;100
;105
239.82;110
233.45;115
221.11;120
229.74;125
238.18;130
224.11;135
241.79;140
229.43;145
233.01;150
219.65;155
243.76;160
229.38;165
232.96;170
246.95;175
238.33;180
248.88;185
233.85;190
237.02;195
225.95;200
226.61;205
230.43;210
229.71;215
233;220
230.54;225
227.74;230
232.62;235
228.87;240
230.51;245
226.64;250
234.89;255
230.13;260
237.33;265
242.04;270
226.71;275
240.46;280
228.64;285
236.54;290
223.27;295
238.45;300
234.81;305
238.76;310
238.58;315
223.91;320
221.31;325
228.31;330
223.62;335
232.74;340
233.23;345
231.99;350
231.94;355
248.99;360
226.15;365
224.72;370
226.77;375
234.61;380
237.52;385
231.96;390
241.68;395
235.67;400
229.61;405
238.42;410
231.52;415
221.77;420
218.76;425
217.97;430
228.83;435
236.14;440
239.23;445
231.51;450
238.49;455
247.36;460
231.59;465
232.47;470
217.5;475
244.44;480
222.51;485
240.22;490
228.57;495
236.21;500
239.96;505
226.61;510
229.42;515
226.19;520
234.85;525
231.71;530
238.67;535
232.14;540
240.83;545
233.41;550
243.58;555
233.17;560
252.98;565
236;570
234.76;575
234.71;580
;585
235.35;590
231.69;595
239.15;600
218.03;605
244.86;610
229.88;615
237.1;620
230.82;625
231.6;630
236.3;635
231.03;640
227.57;645
233;650
220.05;655
230.49;660
224.36;665
232.9;670
225.91;675
225.85;680
232.1;685
239.06;690
239.29;695
242.1;700
223.64;705
230.49;710
212.59;715
226.4;720
216.29;725
249.51;730
239.7;735
219.52;740
236.94;745
240.07;750
231.1;755
219.27;760
240;765
235.63;770
242.58;775
225.82;780
223.52;785
230.85;790
229.56;795
218.94;800
235.33;805
235.68;810
236.42;815
238.7;820
255.15;825
232.68;830
224.09;835
238.95;840
232.91;845
242.71;850
234.86;855
209.32;860
235.79;865
237.54;870
230.95;875
224.21;880
206.26;885
233.38;890
225.01;895
244.24;900
240.66;905
236.07;910
240.8;915
227;920
229.43;925
234.44;930
232.76;935
236.53;940
234.19;945
234.3;950
232.15;955
231.26;960
226.42;965
232.11;970
232.89;975
219.18;980
236.55;985
237.36;990
227.6;995
228.37;1000
225.35;1005
236.13;1010
230.59;1015
228.4;1020
228.19;1025
230.57;1030
230.16;1035
226.93;1040
231.69;1045
231.92;1050
228.45;1055
231.07;1060
236.14;1065
238.79;1070
226.61;1075
226.15;1080
228.93;1085
234.45;1090
231.89;1095
243.8;1100
241.61;1105
228.9;1110
235.48;1115
234.84;1120
223.11;1125
225.77;1130
233.35;1135
234.85;1140
222.63;1145
228.14;1150
226.9;1155
233.19;1160
246.43;1165
221.95;1170
226.6;1175
227.3;1180
242.25;1185
236.68;1190
231.37;1195
243.01;1200
238.7;1205
233.28;1210
226.58;1215
237.75;1220
215.08;1225
228.61;1230
244.33;1235
230.76;1240
234.87;1245
231.6;1250
231.61;1255
237.52;1260
233.27;1265
228.8;1270
238.43;1275
245.77;1280
232.12;1285
233.84;1290
232.62;1295
234.08;1300
232.24;1305
224.14;1310
225.13;1315
235.24;1320
220.71;1325
230.92;1330
243.76;1335
224.56;1340
230;1345
236.33;1350
236.12;1355
230.68;1360
244.82;1365
229.33;1370
231.47;1375
255.11;1380
222.05;1385
221.47;1390
229.96;1395
222.14;1400
229.69;1405
221.61;1410
223.94;1415
224.09;1420
236.61;1425
250.73;1430
242.62;1435
240.44;1440
235.18;1445
222.01;1450
230.94;1455
230.65;1460
238.45;1465
234.49;1470
241.17;1475
228.47;1480
230.1;1485
243.37;1490
226.97;1495
232.96;1500
228.47;1505
223.73;1510
235.84;1515
239.78;1520
240.62;1525
239.72;1530
215.75;1535
227.17;1540
236.79;1545
224.58;1550
232.82;1555
220.48;1560
235.97;1565
234.51;1570
236.06;1575
240.19;1580
224.25;1585
234.74;1590
219.32;1595
226.65;1600
236.61;1605
232.14;1610
222.56;1615
223.1;1620
221.75;1625
237.86;1630
230.44;1635
231.71;1640
233.36;1645
259.67;1650
227.26;1655
225.71;1660
219.61;1665
218.87;1670
244.3;1675
237.21;1680
226.07;1685
233.02;1690
236.97;1695
236.45;1700
236.58;1705
228.41;1710
229.57;1715
222.71;1720
218.21;1725
230.12;1730
225.2;1735
236.56;1740
232.36;1745
230.45;1750
226.8;1755
231.17;1760
238.4;1765
247.65;1770
231.28;1775
211.65;1780
231.25;1785
238.33;1790
239.05;1795
226.08;1800
231.73;1805
232.56;1810
230.03;1815
230.02;1820
233.8;1825
233.05;1830
232.96;1835
223.8;1840
238.19;1845
228.3;1850
234.67;1855
230.05;1860
220.61;1865
218.77;1870
219.44;1875
230.24;1880
243.36;1885
231.61;1890
226.61;1895
228.5;1900
220.16;1905
232.89;1910
235.79;1915
237.23;1920
243.95;1925
241.28;1930
232.19;1935
233.93;1940
234.36;1945
228.38;1950
228.88;1955
222.99;1960
236.82;1965
226.57;1970
232;1975
236.24;1980
223.75;1985
222.4;1990
230.23;1995
226.27;2000
231.41;2005
219.78;2010
226.57;2015
236.39;2020
215.93;2025
223.62;2030
234.91;2035
223.17;2040
227.43;2045
231.69;2050
230.12;2055
225.64;2060
235.91;2065
241.34;2070
234.5;2075
225.27;2080
211.97;2085
233.38;2090
233.36;2095
231.48;2100
232.85;2105
231.91;2110
231.7;2115
222.84;2120
236.31;2125
250.23;2130
225.23;2135
228.94;2140
240.06;2145
229.75;2150
227.18;2155
228.32;2160
236.82;2165
221.19;2170
225.16;2175
230.5;2180
233.53;2185
237.81;2190
237.57;2195
237.14;2200
223.6;2205
230;2210
235.87;2215
245.68;2220
238.25;2225
241.18;2230
230.42;2235
230.79;2240
228.72;2245
239.51;2250
241.64;2255
238.67;2260
232.09;2265
231.33;2270
233.75;2275
239.91;2280
236.04;2285
225.32;2290
239.08;2295
225.66;2300
221.88;2305
222.33;2310
235.87;2315
228.91;2320
234.49;2325
248.33;2330
223.38;2335
239.07;2340
225.76;2345
235.89;2350
238.94;2355
226.86;2360
253.77;2365
225.84;2370
226.65;2375
231.68;2380
228.39;2385
238.04;2390
234.28;2395
234.58;2400
231.33;2405
222.57;2410
236.69;2415
227.47;2420
226.97;2425
245.35;2430
223.83;2435
225.28;2440
237.35;2445
226.06;2450
236.6;2455
230.48;2460
220.7;2465
232.88;2470
240.19;2475
233.45;2480
228.87;2485
222.97;2490
245.54;2495
234.28;2500
236.21;2505
244.43;2510
241.56;2515
230.29;2520
227.34;2525
243.55;2530
231.3;2535
225.54;2540
212.39;2545
237.97;2550
230.52;2555
224.64;2560
225.54;2565
226.23;2570
233.44;2575
232.32;2580
225.76;2585
226.52;2590
229.02;2595
242.1;2600
239.93;2605
225.31;2610
232.14;2615
221.9;2620
234.04;2625
229.54;2630
233.6;2635
219.5;2640
221.58;2645
235.41;2650
218.12;2655
236.27;2660
233.44;2665
231.73;2670
223.34;2675
232.97;2680
243.81;2685
233.44;2690
235.1;2695
230.07;2700
225.92;2705
234.28;2710
216.78;2715
232.53;2720
237.73;2725
229;2730
225.59;2735
225.58;2740
228.01;2745
233.47;2750
228.87;2755
227.05;2760
236.27;2765
226.77;2770
227.55;2775
230.48;2780
232.22;2785
227.68;2790
230.53;2795
228.92;2800
235.84;2805
236.03;2810
235.15;2815
238;2820
229;2825
215.95;2830
231.81;2835
230;2840
